id,old_tags,new_tags,changed
725,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
726,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
729,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
738,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
763,"[""Ownership Changes"", ""insider-trading""]","[""bullish""]",True
766,"[""Ownership Changes"", ""Takeover"", ""insider-trading""]","[""bearish""]",True
768,"[""Divestment"", ""Ownership Change"", ""insider-trading""]","[""bearish"", ""divestment""]",True
769,"[""Ownership Changes"", ""insider-trading""]","[""bearish""]",True
784,"[""Ownership Changes"", ""Divestment Bearish"", ""insider-trading""]","[""bearish""]",True
785,"[""Ownership Changes"", ""Divestment"", ""insider-trading""]","[""bearish"", ""divestment""]",True
815,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
816,"[""Ownership Change"", ""Takeover"", ""insider-trading""]","[""bearish""]",True
817,"[""Divestment"", ""Ownership Changes"", ""Partnership"", ""insider-trading""]","[""bearish"", ""divestment""]",True
820,"[""insider-trading"", ""Ownership Changes"", ""insider-trading""]","[""bearish""]",True
821,"[""Ownership Changes"", ""insider-trading""]","[""bearish""]",True
822,"[""Takeover"", ""Ownership Changes"", ""Investment"", ""Bullish"", ""insider-trading""]","[""bullish"", ""investment""]",True
823,"[""Takeover Ownership Structure"", ""insider-trading""]","[""bearish""]",True
825,"[""Ownership Changes"", ""insider-trading""]","[""bearish""]",True
839,"[""Bearish"", ""Divestment"", ""Ownership Change"", ""Insider Trading"", ""Takeover""]","[""bearish"", ""divestment""]",True
878,"[""Ownership Changes"", ""Acquisition"", ""insider-trading""]","[""bullish""]",True
905,"[""Ownership Changes"", ""Takeover"", ""insider-trading""]","[""bearish""]",True
1012,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1039,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1044,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1049,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1050,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading"", ""Takeover""]","[""bullish"", ""investment""]",True
1052,"[""neutral"", ""ownership change"", ""insider trading""]","[""bearish""]",True
1053,"[""neutral"", ""ownership change"", ""insider trading""]","[""bearish""]",True
1064,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1086,"[""neutral"", ""ownership change"", ""insider trading""]","[""bullish""]",True
1087,"[""neutral"", ""ownership change"", ""insider trading""]","[""bullish""]",True
1091,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1126,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1222,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
1283,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""bearish"", ""investment""]",True
1291,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading"", ""Takeover""]","[""bullish"", ""investment""]",True
1293,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
